No;IPKM;X1;X2;X3;X4;X5;X6;X7
119;High;>=0,6464;>=0,5763;<0,4398;>=0,4740;>=0,4496;>=0,8796;<0,7950
120;High;>=0,6464;<0,5763;<0,4398;>=0,4740;>=0,4496;>=0,8796;>=0,7950
121;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;<0,8796;>=0,7950
122;High;>=0,6464;<0,5763;>=0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
123;High;>=0,6464;>=0,5763;<0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
124;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
125;High;>=0,6464;<0,5763;>=0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
126;High;>=0,6464;<0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
127;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;>=0,4496;<0,8796;>=0,7950
128;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;>=0,4496;<0,8796;>=0,7950
129;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
130;High;>=0,6464;>=0,5763;>=0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
131;High;>=0,6464;<0,5763;>=0,4398;>=0,4740;>=0,4496;>=0,8796;>=0,7950
132;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;<0,8796;>=0,7950
133;High;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
134;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;>=0,4496;>=0,8796;>=0,7950
135;High;<0,6464;>=0,5763;>=0,4398;>=0,4740;>=0,4496;>=0,8796;<0,7950
136;High;>=0,6464;<0,5763;<0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
137;High;>=0,6464;>=0,5763;>=0,4398;<0,4740;<0,4496;>=0,8796;<0,7950
138;High;>=0,6464;<0,5763;>=0,4398;<0,4740;<0,4496;<0,8796;>=0,7950
139;High;>=0,6464;<0,5763;>=0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
140;High;<0,6464;>=0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
141;High;>=0,6464;<0,5763;<0,4398;>=0,4740;>=0,4496;>=0,8796;<0,7950
142;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;<0,8796;>=0,7950
143;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;>=0,4496;>=0,8796;>=0,7950
144;High;>=0,6464;>=0,5763;<0,4398;<0,4740;<0,4496;>=0,8796;>=0,7950
